/root/miniconda3/envs/subset/lib/python3.9/site-packages/torch/nn/modules/transformer.py:508: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. We recommend specifying layout=torch.jagged when constructing a nested tensor, as this layout receives active development, has better operator coverage, and works with torch.compile. (Triggered internally at /pytorch/aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
--- DTA Baseline: Hard Random (Ratio: 0.8) ---

>>> [Stage 0] Sampling...

[Sampler] Running Hard Random | Target: 19964/24956 (80.0%)
-> Source reduced: 24956 -> 19964

=== Phase 1: Source Pre-training ===
[P1] Ep 1: Loss 1.5049 | Val MAE 2.1208
[P1] Ep 2: Loss 0.8693 | Val MAE 1.9992
[P1] Ep 3: Loss 0.8188 | Val MAE 1.9863
[P1] Ep 4: Loss 0.7849 | Val MAE 2.1022
[P1] Ep 5: Loss 0.7718 | Val MAE 2.0059
[P1] Ep 6: Loss 0.7554 | Val MAE 2.1253
[P1] Ep 7: Loss 0.7198 | Val MAE 2.0555
[P1] Ep 8: Loss 0.7093 | Val MAE 2.0421
[P1] Ep 9: Loss 0.6877 | Val MAE 2.0114
[P1] Ep 10: Loss 0.6824 | Val MAE 2.0740
[P1] Ep 11: Loss 0.6627 | Val MAE 2.0234
[P1] Ep 12: Loss 0.6617 | Val MAE 2.0493
[P1] Ep 13: Loss 0.6621 | Val MAE 2.1417
[P1] Ep 14: Loss 0.6503 | Val MAE 2.1022
[P1] Ep 15: Loss 0.6466 | Val MAE 1.9549
[P1] Ep 16: Loss 0.6407 | Val MAE 2.0066
[P1] Ep 17: Loss 0.6367 | Val MAE 2.0388
[P1] Ep 18: Loss 0.6311 | Val MAE 2.0007
[P1] Ep 19: Loss 0.6242 | Val MAE 1.9366
[P1] Ep 20: Loss 0.6178 | Val MAE 1.9461
[P1] Ep 21: Loss 0.6211 | Val MAE 1.9649
[P1] Ep 22: Loss 0.6174 | Val MAE 1.9288
[P1] Ep 23: Loss 0.6099 | Val MAE 1.9370
[P1] Ep 24: Loss 0.6001 | Val MAE 1.9817
[P1] Ep 25: Loss 0.5910 | Val MAE 1.9263
[P1] Ep 26: Loss 0.5884 | Val MAE 1.9716
[P1] Ep 27: Loss 0.5912 | Val MAE 1.8423
[P1] Ep 28: Loss 0.5785 | Val MAE 1.9046
[P1] Ep 29: Loss 0.5731 | Val MAE 1.8957
[P1] Ep 30: Loss 0.5704 | Val MAE 1.9853
[P1] Ep 31: Loss 0.5687 | Val MAE 1.9262
[P1] Ep 32: Loss 0.5608 | Val MAE 1.9950
[P1] Ep 33: Loss 0.5610 | Val MAE 1.8178
[P1] Ep 34: Loss 0.5515 | Val MAE 1.7062
[P1] Ep 35: Loss 0.5473 | Val MAE 1.8049
[P1] Ep 36: Loss 0.5458 | Val MAE 1.7943
[P1] Ep 37: Loss 0.5312 | Val MAE 1.8474
[P1] Ep 38: Loss 0.5289 | Val MAE 1.9280
[P1] Ep 39: Loss 0.5222 | Val MAE 1.8420
[P1] Ep 40: Loss 0.5177 | Val MAE 1.8332
[P1] Ep 41: Loss 0.5081 | Val MAE 1.7767
[P1] Ep 42: Loss 0.5057 | Val MAE 1.8397
[P1] Ep 43: Loss 0.5016 | Val MAE 1.8213
[P1] Ep 44: Loss 0.4966 | Val MAE 1.9006
[P1] Ep 45: Loss 0.5003 | Val MAE 1.8587
[P1] Ep 46: Loss 0.4897 | Val MAE 1.8668
[P1] Ep 47: Loss 0.4871 | Val MAE 1.9093
[P1] Ep 48: Loss 0.4818 | Val MAE 1.7814
[P1] Ep 49: Loss 0.4850 | Val MAE 1.7783
[P1] Ep 50: Loss 0.4718 | Val MAE 1.8160
[P1] Ep 51: Loss 0.4729 | Val MAE 1.6844
[P1] Ep 52: Loss 0.4614 | Val MAE 1.7274
[P1] Ep 53: Loss 0.4646 | Val MAE 1.7377
[P1] Ep 54: Loss 0.4723 | Val MAE 1.7126
[P1] Ep 55: Loss 0.4558 | Val MAE 1.8292
[P1] Ep 56: Loss 0.4599 | Val MAE 1.7913
[P1] Ep 57: Loss 0.4543 | Val MAE 1.7040
[P1] Ep 58: Loss 0.4514 | Val MAE 1.7752
[P1] Ep 59: Loss 0.4462 | Val MAE 1.8128
[P1] Ep 60: Loss 0.4416 | Val MAE 1.7031
[P1] Ep 61: Loss 0.4341 | Val MAE 1.7407
[P1] Ep 62: Loss 0.4337 | Val MAE 1.7394
[P1] Ep 63: Loss 0.4356 | Val MAE 1.6964
[P1] Ep 64: Loss 0.4232 | Val MAE 1.7272
[P1] Ep 65: Loss 0.4268 | Val MAE 1.7107
[P1] Ep 66: Loss 0.4139 | Val MAE 1.8182
[P1] Ep 67: Loss 0.4202 | Val MAE 1.6412
[P1] Ep 68: Loss 0.4113 | Val MAE 1.6959
[P1] Ep 69: Loss 0.4110 | Val MAE 1.7658
[P1] Ep 70: Loss 0.4023 | Val MAE 1.6370
[P1] Ep 71: Loss 0.3992 | Val MAE 1.6973
[P1] Ep 72: Loss 0.4019 | Val MAE 1.7181
[P1] Ep 73: Loss 0.4038 | Val MAE 1.8235
[P1] Ep 74: Loss 0.3967 | Val MAE 1.6052
[P1] Ep 75: Loss 0.3946 | Val MAE 1.6772
[P1] Ep 76: Loss 0.3867 | Val MAE 1.7964
[P1] Ep 77: Loss 0.3914 | Val MAE 1.5934
[P1] Ep 78: Loss 0.3836 | Val MAE 1.5337
[P1] Ep 79: Loss 0.3817 | Val MAE 1.7503
[P1] Ep 80: Loss 0.3764 | Val MAE 1.5938
[P1] Ep 81: Loss 0.3711 | Val MAE 1.7870
[P1] Ep 82: Loss 0.3679 | Val MAE 1.7038
[P1] Ep 83: Loss 0.3732 | Val MAE 1.7037
[P1] Ep 84: Loss 0.3683 | Val MAE 1.6324
[P1] Ep 85: Loss 0.3671 | Val MAE 1.6650
[P1] Ep 86: Loss 0.3607 | Val MAE 1.5642
[P1] Ep 87: Loss 0.3586 | Val MAE 1.6194
[P1] Ep 88: Loss 0.3570 | Val MAE 1.7373
[P1] Ep 89: Loss 0.3535 | Val MAE 1.7069
[P1] Ep 90: Loss 0.3534 | Val MAE 1.7806
[P1] Ep 91: Loss 0.3464 | Val MAE 1.6015
[P1] Ep 92: Loss 0.3461 | Val MAE 1.5137
[P1] Ep 93: Loss 0.3438 | Val MAE 1.6608
[P1] Ep 94: Loss 0.3364 | Val MAE 1.6523
[P1] Ep 95: Loss 0.3400 | Val MAE 1.5749
[P1] Ep 96: Loss 0.3341 | Val MAE 1.7450
[P1] Ep 97: Loss 0.3272 | Val MAE 1.6911
[P1] Ep 98: Loss 0.3252 | Val MAE 1.7558
[P1] Ep 99: Loss 0.3192 | Val MAE 1.5964
[P1] Ep 100: Loss 0.3186 | Val MAE 1.7075
[P1] Ep 101: Loss 0.3199 | Val MAE 1.7223
[P1] Ep 102: Loss 0.3183 | Val MAE 1.6234
[P1] Ep 103: Loss 0.3200 | Val MAE 1.6928
[P1] Ep 104: Loss 0.3060 | Val MAE 1.6806
[P1] Ep 105: Loss 0.3032 | Val MAE 1.8616
[P1] Ep 106: Loss 0.3032 | Val MAE 1.6885
[P1] Ep 107: Loss 0.2966 | Val MAE 1.6688
