sortedformula	Eg(eV)
Ag2 S4 Sn Zn	2.348
Ag2 Se4 Sn Zn	1.54
Ba2 O4 Sn	4.877
Ba2 S4 Sn	3.732
Ba O3 Sn	2.979
Ba S2 Sn	2.618
Ba S3 Sn	2.089
Ca2 N2 Sn	1.711
Ca4 N4 Sn	2.394
Ca5 N4 Sn	1.447
Ca5 N6 Sn4	1.105
Ca N2 Sn	2.831
Ca N2 Sn	2.656
Ca N2 Sn2	1.758
Ca O3 Sn	4.973
Cd2 O4 Sn	2.238
Cd2 O4 Sn	2.137
Co Ni O4 Sn	2.846
Cu2 S3 Sn	0.617
Cu2 S4 Sn Zn	1.559
Cu2 Se4 Sn Zn	1.046
Li2 O3 Sn	5.996
Mg2 O4 Sn	5.554
Mg N2 Sn	2.47
Mn2 O4 Sn	2.15
Mn N2 Sn	1.224
Mn Ni O4 Sn	3.008
N2 Sn Zn	1.414
N4 Sn3	1.335
N4 Sn3	1.536
N4 Sn3	1.525
Ni2 O4 Sn	1.845
Ni2 O4 Sn	3.365
Ni O3 Sn	2.733
O2 Sn	3.486
O2 Sn	4.523
O2 Sn	4.146
O3 Sn Sr	4.246
O4 Sn2 Ti	2.174
O4 Sn W	2.313
O4 Sn Zn2	3.496
O Sn	0.436
O Sn	2.518
O Sn	2.513
O Sn	2.248
P2 Sn Zn	1.784
S2 Sn	3.04
S4 Sn Zn2	1.82
Se2 Sn	1.535
Se Sn	0.959
Sn Te	0.096
S Sn	1.22
