formula,target,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
Ba1Mo2O12P2,4.006198,8.000000,56.000000,48.000000,15.647059,10.948097,8.000000,9.000000,87.000000,78.000000,77.588235,14.560554,87.000000,15.999400,137.327000,121.327600,34.305137,26.627246,15.999400,54.800000,2896.000000,2841.200000,475.541176,631.220761,54.800000,2.000000,16.000000,14.000000,13.882353,3.252595,16.000000,2.000000,6.000000,4.000000,2.705882,0.996540,2.000000,66.000000,215.000000,149.000000,89.941176,33.799308,66.000000,0.890000,3.440000,2.550000,2.992353,0.631972,3.440000,1.000000,2.000000,1.000000,1.882353,0.207612,2.000000,0.000000,4.000000,4.000000,3.176471,1.162630,4.000000,0.000000,5.000000,5.000000,0.588235,1.038062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,6.000000,4.000000,5.647059,0.581315,6.000000,0.000000,1.000000,1.000000,0.117647,0.207612,0.000000,0.000000,3.000000,3.000000,1.764706,0.622837,2.000000,5.000000,5.000000,0.588235,1.038062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,6.000000,2.470588,0.955017,2.000000,9.105000,63.590000,54.485000,14.668852,7.854849,9.105000,0.000000,1.625000,1.625000,0.191176,0.337370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,229.000000,227.000000,49.117647,63.487889,12.000000
Ca1Fe4O6,0.577886,8.000000,26.000000,18.000000,15.636364,8.330579,8.000000,7.000000,87.000000,80.000000,68.090909,20.628099,87.000000,15.999400,55.845000,39.845600,32.677673,18.194479,15.999400,54.800000,1811.000000,1756.200000,789.800000,801.818182,54.800000,2.000000,16.000000,14.000000,11.818182,4.561983,16.000000,2.000000,4.000000,2.000000,2.909091,0.991736,2.000000,66.000000,176.000000,110.000000,100.000000,37.090909,66.000000,1.000000,3.440000,2.440000,2.632727,0.880661,3.440000,2.000000,2.000000,0.000000,2.000000,0.000000,2.000000,0.000000,4.000000,4.000000,2.181818,1.983471,4.000000,0.000000,6.000000,6.000000,2.181818,2.776860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,8.000000,6.000000,6.363636,1.190083,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000,1.090909,0.991736,2.000000,4.000000,4.000000,1.454545,1.851240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,2.545455,1.057851,2.000000,9.105000,37.770000,28.665000,12.301818,4.630579,9.105000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.110663,2.110663,0.767514,0.976836,0.000000,12.000000,229.000000,217.000000,110.272727,107.206612,12.000000
Bi1K1O8W2,3.820251,8.000000,83.000000,75.000000,26.166667,25.416667,8.000000,3.000000,87.000000,84.000000,73.916667,19.458333,87.000000,15.999400,208.980400,192.981000,61.979492,65.120321,15.999400,54.800000,3695.000000,3640.200000,725.777500,989.740833,54.800000,1.000000,16.000000,15.000000,13.000000,4.333333,16.000000,2.000000,6.000000,4.000000,3.166667,1.555556,2.000000,66.000000,203.000000,137.000000,100.250000,45.666667,66.000000,0.820000,3.440000,2.620000,2.923333,0.688889,3.440000,1.000000,2.000000,1.000000,1.916667,0.152778,2.000000,0.000000,4.000000,4.000000,2.916667,1.458333,4.000000,0.000000,10.000000,10.000000,1.500000,2.250000,0.000000,0.000000,14.000000,14.000000,3.500000,5.250000,0.000000,1.000000,29.000000,28.000000,9.833333,6.583333,6.000000,0.000000,1.000000,1.000000,0.083333,0.152778,0.000000,0.000000,3.000000,3.000000,1.583333,0.791667,2.000000,6.000000,6.000000,1.000000,1.666667,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,6.000000,5.000000,2.666667,1.166667,2.000000,9.105000,73.106667,64.001667,17.583056,11.815093,9.105000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,229.000000,217.000000,66.250000,81.375000,12.000000
K1P1Se6Zr1,0.064219,15.000000,40.000000,25.000000,30.888889,6.172840,34.000000,3.000000,89.000000,86.000000,73.777778,22.345679,89.000000,30.973762,91.224000,60.250238,70.561785,15.789224,78.960000,317.300000,2128.000000,1810.700000,638.425556,331.016543,494.000000,1.000000,16.000000,15.000000,12.888889,4.617284,16.000000,3.000000,5.000000,2.000000,4.000000,0.222222,4.000000,107.000000,203.000000,96.000000,133.888889,24.493827,120.000000,0.820000,2.550000,1.730000,2.182222,0.492099,2.550000,1.000000,2.000000,1.000000,1.888889,0.197531,2.000000,0.000000,4.000000,4.000000,3.000000,1.333333,4.000000,0.000000,10.000000,10.000000,6.888889,4.148148,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,16.000000,15.000000,11.777778,5.629630,16.000000,0.000000,1.000000,1.000000,0.111111,0.197531,0.000000,0.000000,3.000000,3.000000,1.666667,0.740741,2.000000,8.000000,8.000000,0.888889,1.580247,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,8.000000,7.000000,2.666667,1.259259,2.000000,22.570238,73.106667,50.536429,30.487989,9.470817,25.920000,0.000000,1.625000,1.625000,0.713222,0.316988,0.799000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,229.000000,227.000000,56.555556,68.864198,14.000000
F6Fe1Zr1,3.659929,9.000000,40.000000,31.000000,15.000000,9.000000,9.000000,44.000000,93.000000,49.000000,82.125000,16.312500,93.000000,18.998403,91.224000,72.225597,32.632427,20.451036,18.998403,53.500000,2128.000000,2074.500000,532.500000,718.500000,53.500000,4.000000,17.000000,13.000000,14.250000,4.125000,17.000000,2.000000,5.000000,3.000000,2.625000,0.937500,2.000000,57.000000,175.000000,118.000000,81.125000,36.187500,57.000000,1.330000,3.980000,2.650000,3.380000,0.900000,3.980000,2.000000,2.000000,0.000000,2.000000,0.000000,2.000000,0.000000,5.000000,5.000000,3.750000,1.875000,5.000000,0.000000,6.000000,6.000000,1.000000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,8.000000,4.000000,6.750000,0.687500,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.750000,0.375000,1.000000,8.000000,8.000000,1.500000,2.250000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,8.000000,7.000000,2.250000,1.875000,1.000000,9.707500,23.195000,13.487500,11.521250,2.918437,9.707500,0.000000,1.970000,1.970000,1.477500,0.738750,1.970000,2.110663,2.110663,0.263833,0.461707,0.000000,15.000000,229.000000,214.000000,64.125000,73.687500,15.000000
K2Mo1O2S2,2.812229,8.000000,42.000000,34.000000,18.285714,7.183673,8.000000,3.000000,88.000000,85.000000,58.000000,33.714286,3.000000,15.999400,95.960000,79.960600,38.612200,16.662857,15.999400,54.800000,2896.000000,2841.200000,636.482857,645.576327,54.800000,1.000000,16.000000,15.000000,10.285714,6.530612,1.000000,2.000000,5.000000,3.000000,3.285714,0.897959,2.000000,66.000000,203.000000,137.000000,128.857143,49.551020,66.000000,0.820000,3.440000,2.620000,2.262857,0.853878,0.820000,1.000000,2.000000,1.000000,1.571429,0.489796,1.000000,0.000000,4.000000,4.000000,2.285714,1.959184,0.000000,0.000000,5.000000,5.000000,0.714286,1.224490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,6.000000,5.000000,4.571429,2.040816,1.000000,0.000000,1.000000,1.000000,0.428571,0.489796,0.000000,0.000000,2.000000,2.000000,1.142857,0.979592,0.000000,5.000000,5.000000,0.714286,1.224490,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,6.000000,5.000000,2.285714,1.061224,1.000000,9.105000,73.106667,64.001667,33.098155,22.862007,9.105000,0.000000,2.202000,2.202000,0.629143,0.898776,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,229.000000,217.000000,121.571429,92.081633,12.000000
Ag1Co1O4P1,3.413494,8.000000,47.000000,39.000000,17.285714,11.265306,8.000000,58.000000,87.000000,29.000000,79.142857,10.081633,87.000000,15.999400,107.868200,91.868800,37.396108,26.288337,15.999400,54.800000,1768.000000,1713.200000,505.632857,569.046939,54.800000,9.000000,16.000000,7.000000,14.142857,2.367347,16.000000,2.000000,5.000000,3.000000,2.857143,0.979592,2.000000,66.000000,145.000000,79.000000,91.714286,29.387755,66.000000,1.880000,3.440000,1.560000,2.822857,0.705306,3.440000,1.000000,2.000000,1.000000,1.857143,0.244898,2.000000,0.000000,4.000000,4.000000,2.714286,1.551020,4.000000,0.000000,10.000000,10.000000,2.428571,3.469388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,11.000000,6.000000,7.000000,1.714286,6.000000,0.000000,1.000000,1.000000,0.142857,0.244898,0.000000,0.000000,3.000000,3.000000,1.571429,0.897959,2.000000,3.000000,3.000000,0.428571,0.734694,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,2.000000,2.142857,0.489796,2.000000,9.105000,22.570238,13.465238,12.223605,4.129436,9.105000,0.000000,1.625000,1.625000,0.232143,0.397959,0.000000,1.548471,1.548471,0.221210,0.379217,0.000000,2.000000,225.000000,223.000000,67.000000,81.428571,12.000000
Cs3Na2P3Sn1,1.796626,11.000000,55.000000,44.000000,31.333333,19.925926,15.000000,2.000000,83.000000,81.000000,38.666667,38.740741,5.000000,22.989769,132.905452,109.915683,72.925242,50.161197,30.973762,301.590000,505.080000,203.490000,344.832222,47.182963,301.590000,1.000000,15.000000,14.000000,7.111111,6.790123,1.000000,3.000000,6.000000,3.000000,4.222222,1.358025,3.000000,107.000000,244.000000,137.000000,169.333333,49.777778,107.000000,0.790000,2.190000,1.400000,1.417778,0.635309,0.790000,1.000000,2.000000,1.000000,1.444444,0.493827,1.000000,0.000000,3.000000,3.000000,1.222222,1.358025,0.000000,0.000000,10.000000,10.000000,1.111111,1.975309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,14.000000,13.000000,3.777778,3.086420,1.000000,0.000000,1.000000,1.000000,0.555556,0.493827,0.000000,0.000000,4.000000,4.000000,1.444444,1.604938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,4.000000,3.000000,2.000000,1.111111,1.000000,22.570238,115.765000,93.194762,56.308598,39.637601,22.570238,0.000000,1.625000,1.625000,0.541667,0.722222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,229.000000,227.000000,143.555556,94.938272,2.000000
Cd1O2Rb2,2.610375,8.000000,48.000000,40.000000,27.600000,15.680000,8.000000,4.000000,87.000000,83.000000,50.400000,37.120000,4.000000,15.999400,112.411000,96.411600,63.069080,37.655744,15.999400,54.800000,594.220000,539.420000,265.748000,168.758400,54.800000,1.000000,16.000000,15.000000,9.200000,6.560000,1.000000,2.000000,5.000000,3.000000,3.800000,1.440000,2.000000,66.000000,220.000000,154.000000,143.200000,61.760000,66.000000,0.820000,3.440000,2.620000,2.042000,1.118400,0.820000,1.000000,2.000000,1.000000,1.600000,0.480000,1.000000,0.000000,4.000000,4.000000,1.600000,1.920000,0.000000,0.000000,10.000000,10.000000,2.000000,3.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,12.000000,11.000000,5.200000,3.360000,1.000000,0.000000,1.000000,1.000000,0.400000,0.480000,0.000000,0.000000,2.000000,2.000000,0.800000,0.960000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000,1.200000,0.640000,1.000000,9.105000,90.722500,81.617500,43.830000,37.514000,9.105000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,229.000000,217.000000,135.200000,98.560000,12.000000
Na6Se7Sn2,2.279059,11.000000,50.000000,39.000000,26.933333,12.746667,34.000000,2.000000,89.000000,87.000000,53.000000,40.800000,89.000000,22.989769,118.710000,95.720231,61.871908,31.105711,78.960000,370.870000,505.080000,134.210000,446.225333,60.284267,494.000000,1.000000,16.000000,15.000000,9.733333,6.986667,16.000000,3.000000,5.000000,2.000000,3.733333,0.586667,4.000000,120.000000,166.000000,46.000000,140.933333,20.053333,120.000000,0.930000,2.550000,1.620000,1.823333,0.714667,2.550000,1.000000,2.000000,1.000000,1.600000,0.480000,2.000000,0.000000,4.000000,4.000000,2.133333,1.742222,4.000000,0.000000,10.000000,10.000000,6.000000,4.800000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,16.000000,15.000000,9.733333,6.986667,16.000000,0.000000,1.000000,1.000000,0.400000,0.480000,0.000000,0.000000,4.000000,4.000000,1.466667,1.173333,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,4.000000,3.000000,1.866667,0.693333,2.000000,25.920000,33.285000,7.365000,28.231333,2.157244,25.920000,0.000000,0.799000,0.799000,0.372867,0.397724,0.799000,0.000000,0.000000,0.000000,0.000000,0.000000,14.000000,229.000000,215.000000,116.933333,96.071111,14.000000
