formula,target
Ba1Mo2O12P2,4.006198
Ca1Fe4O6,0.577886
Bi1K1O8W2,3.820251
K1P1Se6Zr1,0.064219
F6Fe1Zr1,3.659929
K2Mo1O2S2,2.812229
Ag1Co1O4P1,3.413494
Cs3Na2P3Sn1,1.796626
Cd1O2Rb2,2.610375
Na6Se7Sn2,2.279059
P1S5Ti1Tl1,2.041791
Cs3D5Mn1,3.255317
Se3Zr1,1.038285
Cd1K6Te4,2.355397
Ga1Se1,1.661536
Ca1Li1Sb1,1.1795489999999995
Ba1Cu1S3Sc1,1.817709
Ba1K1Nb1S4,2.907466
Na2O7P2Pd1,3.611153
Br2Cu3O4Sr2,2.269563
Ba3Fe3O14Si2Ta1,4.042596
As3Rb1Sn3,1.0516390000000002
S5Sb2Sn2,1.088964
Hg2O7Sb2,1.241632
Ca3O1Si1,0.581546
Ag1Nb1Rb2Se4,2.57987
Cl7Na1,1.219708
I2V1,3.510757
As4Ca1Na2O12,4.447134
Cl6Ga1O2Re1,3.110625
S4Sn1Tl4,2.252647
Au2F8Zn1,3.646232
Ag1Nb1Rb2S4,3.090945
Cl1Fe2H3O12Te4,3.250069
Fe2Sn1Ti1,1.623335
Al1Cr1La3S7,0.858326
C11N4,3.855583
Cu2S1,0.661016
Ba1Mn2O6Y1,1.32196
Mo1Te2,1.185445
Ag1O6Tl1V2,3.206957
Cs1Mo1O6P1,3.885842
Mn1Te2,0.766549
F6K2Pd1,4.1966
Ba2Cu3S6V1,1.670224
H3Li1N1O3P1,6.275845
Sb1Sr2,0.119066
Cu1F6Zr1,4.220098
Cd1O5Se2,4.311693
Cl3K1Tc1,3.125839
Al1Br7Se1,3.1551310000000004
Cu1O6Sr2Te1,2.819274
Na2O6Sn1Te1,2.579238
Ca1Mn1O3,1.096456
F4Hg1Rb2,3.614911
F6Li1Ni1Sr1,3.550813
Cl1La1Se1,2.135487
Rh1S1Sb1,1.4837039999999997
Fe1Se2,1.2555959999999995
Cu1F11Na1Zr2,4.860609
Cu2O2Pb1,1.536476
Ba3P2S8,3.025725
Co1H2O5S1,4.753443
Br1Cr2O4P1,3.284625
C1Hg1N2,3.733007
As2Ge1,1.253428
Cl1Na1O3,3.995601
Cl3Cr1Rb1,2.865627
Al2C4Cl7O4Rh1,3.470158
Cu2La1O4,1.73829
N3Tl1,1.988743
Ag2Ge1Rb2S4,2.954077
In2S7Sn3,0.989536
Cs1H1,3.149353
Cr4Cu1In1Se8,0.558187
C3S8,2.489682
K2Na1O3Tl1,2.368907
Cu1Hf1Se3Tl1,1.237331
In1Li1O6Si2,5.211882
I1N1Ti1,0.447187
B1Na3O3,4.776948
Bi2Fe2Ga2O9,3.565717
Co1Nb1O4,2.444585
Al1Fe1O3,3.615348
Ag2Ge1O3,1.239655
Cr1Mg1O4,3.511997
Ba1Bi1O3,0.487574
Cl3Re6Se8Tl1,2.051621
C2H1O2,4.345133
Co1Li6O4,3.310395
Cl6Cr1Na3,3.951969
Ge1S3Ti1,0.811306
H1.25Li1.75N1,3.880477
Cd1Ga2Se4,2.222341
Ag5Bi1O4,2.390619
H1K1,4.499724
In2Se3,0.656955
O12Re1Sc6,1.518209
O7Ti2Y2,4.0208
K1Mn1O8Se2,2.726744
Cs1Sb1,1.045362
O2Pb1Rb2,2.714658
Mo3Na2O16Te3,3.339493
As1Ca1Li1,1.794169
Cr2O6Re1,1.2779
Na1Si1,1.689275
Ag1C4N3,4.67318
C2H6N4Na1O4P1,6.587174
Ga2Rh2Sr1,0.04187
P2Si1,1.980578
As1K3,0.615704
Cu1O6V2,3.007805
Al1K3Se3,3.340181
Ga1H6O18P6Rb3,1.10836
Ca1Cs1D3,4.219765
Au4Cd1K2S4,2.950499
As2Ni3O8,3.740389
Cs2Mn1S2,3.616848
Fe1H6Sr2,3.777331
Br6Hg3Se2Zr1,2.89722
Cu3Sb1Se4,0.113321
Cl4Hg2K2O3S1,3.214244
Fe1Na2O4,2.9151100000000003
Ag2Mo1O4,3.490969
In4Se3,0.525258
F30O6Te7,4.033572
Cl4Nb1,2.019578
Hf2N2S1,1.722201
Cu2Ge1S4Zn1,1.479334
F3Mo1,3.615009
Ba2S4Zr1,1.3823589999999997
Ca1O3Te1,4.791418
Cs1O2P1S1,5.352587
Be4O7Te1,2.892269
B1H8N1,6.86109
Cd7P10,1.733427
Ag1As1Na2,1.229253
Cl2O2Pb3,3.3697190000000004
Li1Mo3O8Sc1,2.384486
Al2B2O7Sr1,6.330873
B1Be2F2K1O3,7.829048999999999
Br1N1Ti1,1.3965800000000002
K7Nb1O24S6,4.15293
Cl5Cs1Pd2,2.973515
Ge1Mg2,0.5419559999999999
Ag2H2Li1O10P3,4.306001
Bi1O4Sb1,3.878955
K1La1P2Se6,2.943114
Ga1K1Na2O3,4.012121
S3Ti1,0.980361
Mn1O3Si1,4.263624
H8Mn1N4S4Sb2,2.205812
C3Co1H3K1O6,4.483452
B1Cs3S3,3.529535
Cd1I6Tl4,2.752584
Au1Ge4Rb3,1.3108099999999998
Ge1Na1O4Y1,5.265218
F5Fe1H4Mn1O2,2.541717
Cl3N3Ti1,3.364607
As2Rb2Sn1,1.375427
As1Rb1Se2,2.328908
Ge1Na2O5Ti1,4.935206999999999
Cu2In2S6Si1,1.615921
Au3K3Sb2,1.603202
Cl4Ga1Hg1,2.152971
D4Na2Pd1,3.415095
Cl1Li1O2,4.446866
C5I1Mn1O5,3.792661
Bi4O12Ti3,2.6346460000000005
Cl2Cr1H12I1N4,3.61961
Ag2O3Se1,3.122742
Ca1Fe1Ge2O6,1.59421
Cl8I1Sb1,2.698779
Mo1N3Na3,2.672415
C1Cu1Na3O7P1,3.527581
O3Ti1Y1,0.704067
Te1Zn1,2.192322
Br3Ni1Rb1,3.374182
Ba2Ca1N4W1,2.759326
Ge1In1Li1O4,3.730815
Cl4S1W1,2.843353
Au1Br3Rb1,1.013304
Pd1Sn1Zr1,0.297793
Mo1O4Zn1,3.044245
Cu2P7,1.448609
Ba1Te3,1.398796
Co1Nb2O6,3.543648
Hg3O5Se4,2.953693
Au1La4Li1O8,3.223791
Bi1K2Rb1Se3,2.979417
Cl1Rb1,6.084636
C3Ca2H1Li1,1.990268
F7K3Mn2,4.985866
Au1I4O12Rb1,3.54109
In2Sr1Te4,1.53738
Mo1O6P1Tl1,3.50702
Ge3Rh2Se3,0.884314
K4O4Pb1,3.008101
Se2Zn1,1.622463
Au2F8Pd1,2.945376
In1K2Na1P2,1.766197
Fe2O12Se4Zn1,3.184919
Ba2Hg1S5,2.683308
Na2O3Pt1,3.115977
Bi1F5,3.469263
Cu2Mn1S4Si1,2.546102
I1Nb2Te6,1.03465
Cu1K1O2,2.807851
H4O8Ti3,3.987621
K4O3Sn1,3.086247
Cd1Ga2S4,3.11664
C2Li2,4.646745
C1N2Tl2,2.5121650000000004
Na2Pt1S2,2.22559
Cs1Ge2Na1,1.458069
Cs1F3Sr1,8.198585
Ba3O20Si4Te1Zn6,4.413031
As2K2Pt1,0.674361
B1Br3P4S3,3.663923
Ba7F8In2Se6,2.046032
C8Cd1H10O12,4.171099
Cr1O4V1,2.917102
Ge1Mg1Sr1,0.341747
As4Ba3Li4,0.4519120000000001
Cd1Li2O4Si1,4.489124
P3Rb1Zn4,0.881126
Au1Bi1K2,1.328635
Br8Nb3,0.0593
B3Bi1O6,5.147045
F7K3N2O6Sb2,4.811494
Al2Hg1S4,2.334487
Cu1H2O5S1,3.624759
B3Li1N6Sr4,3.173982
In1Rb1S2,3.100748
Co1Na1O4P1,4.791921
Na2Se1,2.972606
I3Mn2O5Sb3,2.767082
Ag1Ba1Se3Y1,2.136067
As1F11H1N1S1Xe1,4.195956000000001
Na2P1Se3,2.725016
As12Sn3Sr14,1.423423
Ba3Sn2,0.740207
Bi2Te3,0.056063
S4V3,0.952686
Na1Nb1O3,2.80775
As2Ge1Zn1,0.8350529999999998
Sc1Se2Tl1,1.166394
Br3Nb1Te1,1.5178899999999995
Br3Ga1Li1,3.952743
F4Te1,5.203724
Mo2O23P4Si4,3.020522
La1Mn3O12V4,0.229668
Cs2Te2,1.780373
As2Ba4O1,1.206106
O5Se2,4.191422
Hg2O7Ru2,0.091571
Au3C6K1N6Ni1,3.306927
Al2Fe1S4,1.8753839999999995
Lu1Rb1S2,3.315142
Cs2Se1,2.637608
Ca3Ge5O14Zn1,3.923859
Ca2Cu1P3Zn2,0.928167
Ba3Ge1Mg1N4,2.269339
Cs2O4Ru1,2.490396
Bi14Br16Pd1,1.375046
I2Mn1,3.315538
Ag2I4Zn1,3.174983
Ba1Cu2Se2,1.216819
Ag1Au1Ba4O6,2.980427
Ga1N5O14,3.255514
As6O24Sr1Zr4,6.056233000000001
H2O3V1,2.655158
B3Cs1O9Zn4,4.965565
Cl3Ga1,5.296158
La3N1S3,2.150037
Cu1O1Rb1,0.906147
P2S5,3.562051
As1Li1Mg1,1.973654
Ba1Sn2,0.164492
Ag1Cl3Rb2,4.4043220000000005
Cr1Ge2Li1O6,4.089615
Fe1Ga2Se4,1.603922
O2Pd1,0.728365
As2K2Ni1,1.36591
Al1Ba3Sb3,0.983476
Na3O1S3V1,2.709652
B1O3P1Sr3,2.945028
Ca1H2O4Si1,6.892951
Al1As4Ca3Na3,1.552175
Ca5In2Sb6,0.622096
Cs1In1S2,3.191308
Ag1Ba1La1Se3,2.326826
I2O2Pb3,2.970735
Ne,14.425131
Na4O3Sn1,2.676136
Cu1O16S2Sb6,2.692138
Cs5Ge1P3,1.5709169999999997
Cu1F6H8O4Si1,4.986295
Ga3Rb1,0.486483
B2Fe2O5,3.5168220000000003
F2N2O4Xe1,3.862115
Cu1I1P4S3,2.727227
Ag1N2Na1O4,4.027926
Br2Nb1Se2,1.828294
Ag1Cl1O3,4.20993
Cu1K1O1,0.828947
In2S3,1.883385
As1Cd1,0.800084
Ca3Fe1O6Rh1,2.473517
H7N2O10Sc1,2.9276
As1Cd1Na1,0.104953
Mn2O4Si1,3.799814
As2Ba2Mn2O1,1.721041
Li4N3Ta1,3.746719
Ag1Ga1Se2,1.236868
Pt1Sn1Ti1,1.31295
F6Ni1Pt1,4.083953
Ca3Li1O6Ru1,2.277703
Cu1Hf1Na1Se3,1.061766
Ba2H3I1,2.978641
Br1Cd1S2Sb1,2.269105
N4Si3,4.730475
Na4Sn1Te4,1.57358
Ba1Cu1O6Se2,3.260206
Cu3S4V1,1.982861
N4O3Si3Y2,4.227345
K2Se1,2.961627
Au1Pb4Rb3,0.696387
In2S4Zn1,2.174153
Br6Cs2Pt1,2.395219
Cu1O4Sb2,3.408313
Cl5Nb1P4S10,2.052058
Cu1O3Se1,2.894107
B12Ni1,0.862473
Ba3Cl2Cu2O4,2.788271
O3Pb1Sr1,1.330101
H2O13Ti6,4.08769
Ag1As1S2,2.3322490000000005
As2K2Pd1,1.40631
C1Cl3Cu1H9N4O1S1,2.807009
Li1Mg1P1,0.515539
Al1K6Na3Sb4,1.28874
As2Co2O8Sr1,3.617001
O12Rb2Te1W3,3.801153
Hg1Mo1O4,3.096414
Mn1Pd1Te1,0.025209
B1Be2F1O3,8.096962999999999
Bi3Cl5O10Te4,3.347724
O4Ti1Zn2,3.664957
Cl9Cs3Sb2,3.069085
