formula,target
H2Ni3O10Se3,3.369208
B1Br6P1,2.692765
I4Te4,0.686076
C2Cu1Na2O6,1.398287
K2Mn1P2S6,2.466247
As2Mo2O12Sr1,2.37227
Al6Cd4O12S1,2.751429
K2Mn1Na1O4,1.646627
F3Mn1,0.632347
F4Li1Mn1,1.864231
Ge2Mn1O7Sr2,2.02525
Cu4Na1O12Te2Tl3,1.313859
Cl1H1O1Pb1,2.812955
Fe1Lu1O3,1.314331
H12K2N6Sn1,2.489065
Cl8Cu1Ga2,1.280793
Au1Li1S1,1.432506
As1Na1Sr1,0.841825
O6Sn1Ta2,2.17638
Al1K1O2,2.972557
Ga2S2Te1,2.032528
O6Sr2Ti1Zr1,2.484961
As2Cu5O10,1.186481
Cs2Hg1O2,2.112441
In1Li1Mo3O8,1.458509
Ba2Cl1P1,1.198334
B1Bi1O4Pb1,2.742555
Cl1La1Nb2O6,2.551923
Co1Ge2O7Sr2,1.810802
Bi2Cs2Pd1,0.446626
Ba1Bi0.5O3Sb0.5,1.773952
Cu3Te4V1,0.7336689999999999
Cl6Hg3Se2Zr1,2.570836
Co1Na2S2,1.888522
Co1Na1O2,0.946728
Ca3Mn1Ni1O6,2.307407
Li2O3Pb1,0.979724
Ag1I3Rb2,2.566776
H2N1Na1,1.921133
Bi1Cs1S4Si1,2.332389
O5Se2Zn1,2.975228
Rb2Te3Zr1,0.064763
P1S3Tl1,1.700161
K1Na1S1,2.54876
Ag1Cu2P1S4,1.403779
B17F27,2.584042
Ag2As1Cs1S3,1.668981
Cl1N1Zr1,3.1688460000000003
P1Rb1S3,1.80301
Ba2In1Sb1Te5,0.641919
As4Sn2Sr3,0.664015
Na1Sn2,0.0
Al1Cu1O2,2.086201
Mo3O14P2Sr1,0.400989
Br2Cu3O6Te2,0.99476
B2S3,2.338541
Ba5Cl2O9Ta2,3.527047
Rb1Sb2,0.367747
Sn1Te3Tl4,0.04828
H12I8Mg1O6,1.43783
Co1Li1O2,0.8968020000000001
H3La3O8V1,2.049968
K1Mn1Na1O2,1.612023
Ca1Cu1H2O5Si1,1.715408
C2Na2Pt1,0.311112
Al1Cl6I3,1.739993
O4Sb2,0.413201
Co2Se3Sn3,0.381889
C1Cl5N1Sb1,1.958146
Au1Cl4Rb1,1.972506
Ag1C1F3O3S1,2.6569190000000003
Ba2Ge2O1S6Zn1,2.077849
Ge4Se9,1.268193
K1O6S1V1,1.822722
Cl2I2Ta1,1.129361
Cr1S4V2,0.0546459999999999
Ag2O12Sr1V4,1.961104
I4Pt1,0.66575
As1Br1Hg3O4,1.865104
Bi1K1P2Se6,1.727351
Br3Cr1H9N3,1.949755
D4Pd1Sr2,1.691652
Rb2Se1,1.785867
C1I12Zr6,0.2807140000000006
Na2O7Se2,2.787809
O3Rh2,1.604243
Ga1K1Se2,1.7190340000000002
Ba1Fe2O5Y1,0.281613
P3Tc1,0.385327
Ag7S6Ta1,0.743663
Fe1O6Sr2Ta1,1.76625
Co1Rh2S4,0.449543
F6K2Re1,1.740217
Cl6Rb2Sn1,2.50703
Cd1In2Te4,0.837015
As2Cs2Si1,1.062704
Ba1F6Ge1,5.401082
As1K3S3,2.636454
Ag2H4O6Te1,0.662986
F1Mn2O4P1,3.450577
C1Ru1,0.652502
Cl18Nb6Tl2V1,0.813493
Ba1F22Ru2Xe5,1.290529
Cl5S2Se1W1,2.276193
Sb1Te2Tl1,0.029742
K4O4Si1,2.867921
B2C2Mg1,1.018841
I2N2S1,1.52067
O1S8,2.41559
As1Ba1K1Se3,1.541677
Br2Mn4O7Si1Te1,2.817967
C1H3N1O1Si1,5.656253
Bi1Cl1Se1,1.551204
Cs2O4Te1,2.885779
Ge1S3Sn1,1.160861
Ge2N3Na1,2.182408
K2Ni3Se4,0.975046
P2S6Zr1,1.567812
Rb1Sc5Te8,0.36496
F6Fe1H8N2Na1,3.617487
Cl6Pt1Rb2,1.94988
As1Ge1Se1,1.453316
Br3Cd1Rb1,2.704963
Cs2I6Pt1,0.647339
Al1Ca2F7H2O1,6.735944
Ba2Cu1O8P2,1.395522
Li1Nb1O2,1.604177
Ce1N2Sr1,1.088248
C2H2Mo1O4,2.296894
Nb1Rb3S4,2.448348
Ba1O2Zn1,2.847387
K3O9S3Sb7,1.804977
K1Si1,1.123147
As2O3,4.056511
B2C8Cu1N8,2.484428
I3Ir1Te6,0.842599
Au2S1,2.009329
Ba1C4O4,2.574998
H6O9S1Tl1V1,2.721542
K4O3Sb2,1.263655
Hg2I1Na1O2,1.371105
Nb2O6Pb1,2.528332
Ba2Nb6O21Te2,2.148483
Au2F8Hg1,1.599589
B1In1O3,2.54459
Sb2Sn1Te4,0.373572
O7Si2Sr1V1,2.596665
Br1Cl1,1.759583
Ge2S5Tl2,1.936644
B2H10Li1N2Na1,4.096051
P1Y1,0.0
C2H6N1O1,2.55774
K1Na1O2Zn1,2.248751
Ba1Si2,0.724936
Mg6Mn1O8,2.233983
K3P1Se16,1.132682
Cu2Se4Si1Zn1,0.804084
Hf1S3,1.053858
Cu1F1Na1O4S1,1.885344
C4F6O4Ru1,0.363093
F2H8Mo1N2O5,2.242968
Cd1I6In4,1.421708
I1Li1Mo1O6,1.980308
I2K4O9,2.092277
Ag1In1P2S6,1.087767
Ag1F4K2,0.420153
Au1K3P2Se8,1.178519
Br4O1Rb6,1.530168
Ag10C2F8,2.037844
Ca1Ni4O8,0.562765
Cu1O7Rb4Si2,1.549032
Au1Na2Sb1,0.372999
Au1I4Li1,0.665501
Ba1O3Ru1,0.0
Hg4O7P2,1.665908
B3Cl6N3,2.702287
Be1S1,3.137296
S8Tl1V5,0.463098
C4Cs1N3,3.787888
Ag3In1O8P2,1.274639
B1Ga1H3Na1O10P2,3.559912
H1N2P1,4.857246
As2Ga1K2,0.986273
Ag1H4N1S4W1,1.658038
O13Te6Zn1,3.018439
H2Si1,3.632911
B2K2Se7,1.629806
Ni1P1S3,1.453295
Al6Ge5,0.45047
O22Si4Sr4Ti5,1.774272
Al1Br4Cu1,2.829613
As2La1,0.211923
C1Cs1H1N2O2,0.994648
Cu3K1S2,0.7429550000000003
Cs1O10Sr2Ta3,1.979686
Ba2F2S3Sn1,2.266507
Ba2Ga1Sb1Se5,1.572914
B1C3F4H10N1,7.620024
F4H2K1Mn1O1,1.796621
