material formula,Band_gap_GGA,Band_gap_HSE,Band_gap_GGA_optical,Band_gap_HSE_optical
Ag10C2F8,2.037844,3.294992,2.266085,3.294992
Ag1Al1Cs1F6,0.0,2.143879,0.0,2.143879
Ag1Al1O2,0.84594,2.390096,3.807256,5.558663
Ag1Al1S2,1.891728,3.055806,1.891728,3.055806
Ag1Al1Se2,1.137147,2.1662359999999996,1.137147,2.1662359999999996
Ag1Al1Te2,1.07639,1.838293,1.07639,1.838293
Ag1As1Ba1,0.0,0.5201560000000001,0.0,0.5201560000000001
Ag1As1Ca1,0.0,0.161867,0.0,1.386369
Ag1As1Cs2S4,1.489848,2.587537,1.86965,2.987947
Ag1As1F10Xe2,1.862139,3.551059,2.330064,4.147475
Ag1As1F6Se3,1.623,2.687754,1.940482,2.993211
Ag1As1Hg1S3,1.150497,1.97659,2.024036,2.968473
Ag1As1Hg2O4,0.726702,1.692346,0.726702,1.692346
Ag1As1K2,1.119908,1.734808,2.202863,2.958342
Ag1As1Na2,0.684651,1.229253,0.684651,1.229253
Ag1As1Pb1S3,1.173072,1.935167,1.548547,1.935167
Ag1As1S1,0.0,0.476823,0.0,0.65611
Ag1As1S2,1.426179,2.3322490000000005,1.885696,2.827071
Ag1As1Se1,0.0,0.07765100000000036,0.0,0.07765100000000036
Ag1As1Se2,0.0,0.32471599999999956,0.0,2.416904
Ag1As1Sr1,0.0,0.3509380000000002,0.0,0.3509380000000002
Ag1As3Cu4O12,0.915572,3.04123,1.168122,3.326868
Ag1As3H2O9,0.694418,2.250247,2.333341,3.977117
Ag1Au1Ba4O6,1.959881,2.980427,2.16822,3.195948
Ag1Au1Cl4,0.846528,2.014716,1.230426,2.436024
Ag1Au1Cl6Cs2,0.759537,1.507505,3.692028,4.969828
Ag1Au1F4,1.082826,2.520362,1.478505,2.947985
Ag1Au1Te4,0.0,0.021204,0.0,0.8429
Ag1Au2F8,0.29665,2.060208,0.29665,2.134111
Ag1Au3I8Rb2,0.812729,1.360323,1.130218,1.360323
Ag1B3O5,2.222712,3.945052,4.301544,6.187179
Ag1Ba1F1Se1,1.253241,2.234553,1.253241,2.234553
Ag1Ba1F1Te1,1.521543,2.348404,1.521543,2.348404
Ag1Ba1La1Se3,1.604719,2.326826,2.117706,3.053899
Ag1Ba1P1,0.121138,0.7105160000000001,0.797707,1.377972
Ag1Ba1S3Sb1,1.327256,2.064838,1.475865,2.064838
Ag1Ba1Sb1,0.0,0.5195530000000002,0.0,1.160848
Ag1Ba1Se3Y1,1.324094,2.136067,2.044198,3.020795
Ag1Ba1Te3Y1,0.763006,1.429816,1.453888,2.24716
Ag1Ba2In1S4,1.6843169999999996,2.6432170000000004,1.6843169999999996,2.6432170000000004
Ag1Bi1Br6Cs2,1.298135,2.162012,2.73905,3.582351
Ag1Bi1Ca1,0.0,0.236947,0.0,0.762402
Ag1Bi1Cl2S1,1.080963,1.995081,1.080963,1.995081
Ag1Bi1Cl6Cs2,1.812356,2.849919,3.127004,4.127443
Ag1Bi1Cr2O8,1.472881,2.357544,1.828598,2.793924
Ag1Bi1Cr4O14,1.917619,3.013278,2.115466,3.18636
Ag1Bi1K2,0.736109,1.203609,1.654262,2.253595
Ag1Bi1O8W2,2.514819,3.797539,2.725204,4.022198
Ag1Bi1P2S6,1.166888,1.97762,2.176811,3.081792
Ag1Bi1P2Se6,1.199719,2.077407,1.811073,2.643335
Ag1Bi1S2,0.476453,1.090961,1.378221,2.11656
Ag1Bi1Se2,0.049785,0.427797,1.251507,1.725211
Ag1Bi2Cl1S3,0.796627,1.484521,1.906635,2.639355
Ag1Bi2Cl1Se3,0.517763,1.103107,1.60674,2.22639
Ag1Bi2F12,0.218723,2.450174,1.168853,3.171062
Ag1Bi3S5,0.451375,1.0127920000000001,0.620286,1.179832
Ag1Br1,0.671593,2.013035,6.467411,8.241479
Ag1Br13Mo6,2.025862,3.1114479999999998,2.025862,3.1114479999999998
Ag1Br1H3N1,2.638943,3.95534,4.326872,5.683958
Ag1Br1Hg1S1,1.241031,2.331397,2.360839,3.514773
Ag1Br1O1Pb1,0.041666,1.068393,0.041666,1.068393
Ag1Br2Cs1,1.819333,3.096206,4.142716,5.451418
Ag1Br3Cs2,2.75736,4.042447,2.75736,4.042447
Ag1Br3Rb2,2.646834,3.950965,3.401833,4.755387
Ag1Br5Pb2,1.958661,3.0504420000000003,1.958661,3.0504420000000003
Ag1C1F3O3S1,2.6569190000000003,4.554208,4.264372,6.259763
