sortedformula	Eg(eV)
Ag2 Ba S4 Sn	0.674
Ag2 Ba Se4 Sn	0.269
Ag2 Ba Sn2	0.202
Ag2 Fe S4 Sn	0.112
Ag2 Hg Se4 Sn	0.106
Ag2 K2 Se4 Sn	1.031
Ag2 O3 Sn	0.173
Ag2 P3 Rb2 Se9 Sn	1.735
Ag2 S4 Sn Zn	0.899
Ag2 Se4 Sn Zn	0.325
Ag3 Ba6 S16 Sn4	0.053
Ag3 Ge3 P6 Sn2	0.309
Ag3 P6 Si3 Sn2	0.39
Ag3 P7 Sn	0.858
Ag4 S8 Sn3	0.575
Ag6 K2 S10 Sn3	1.11
Ag8 S6 Sn	0.639
Ag8 Se6 Sn	0.174
Ag La3 S7 Sn	2.049
Ag La3 Se7 Sn	1.311
Ag Rb3 Se8 Sn3	1.316
Ag Sn Y	0.102
Al2 Ca2 O9 Sn2	2.825
Al2 Sn2 Sr3	0.056
Al5 Ba5 Sn	0.114
As2 Cd Sn	0.111
As2 K2 S6 Sn	1.083
As2 Na2 Sn	0.474
As2 Rb2 Sn	0.758
As2 Sn2 Sr	0.129
As3 K3 Na2 Sn	0.595
As3 K5 Sn	0.55
As3 Na5 Sn	0.393
As4 Ba3 Sn2	0.828
As4 K4 Sn Sr2	0.551
As4 Sn3	0.492
As5 K6 Sn3	0.635
As6 Ba3 Sn4	0.376
As6 Ca5 Sn2	0.322
As6 Sn2 Sr5	0.139
As F7 Sn	2.007
As K S5 Sn	1.747
As K Sn	0.483
Au21 K12 Sn4	0.081
Au2 Ba S4 Sn	1.054
Au2 K2 S4 Sn	1.846
Au3 K Sn3	0.104
Au3 Li Sn4	0.056
Au3 P7 Sn	0.418
Au7 Rb4 Sn2	0.051
Au Cu3 Sn	0.116
Au Cu Sn	0.2
Au K3 Sn4	0.769
Au Li Mg Sn	0.114
Au Na Sn	0.278
Au Ni2 Sn4	0.041
Au Rb3 Sn4	1.017
Au Sc Sn	0.202
Au Sn2	0.049
Au Sn Sr	0.046
Au Sn Y	0.175
B2 Ir6 Sn5	0.097
B6 Ni21 Sn2	0.065
Ba2 Bi3 Sn3	0.06
Ba2 F2 S3 Sn	2.346
Ba2 F2 Se3 Sn	1.818
Ba2 N2 Sn	0.203
Ba2 O4 Sn	2.445
Ba2 S4 Sn	2.333
Ba2 Sb6 Sn3	0.058
Ba2 Se5 Sn	1.313
Ba2 Sn	0.063
Ba3 P3 Sn	0.904
Ba3 P4 Sn2	0.94
Ba3 S7 Sn2	2.191
Ba3 Sn2	0.519
Ba4 N4 Sn	0.778
Ba4 Se10 Sn	0.753
Ba5 N6 Sn2	1.11
Ba7 N6 Sn	0.926
Ba7 Se13 Sn3	1.41
Ba8 Si6 Sn	0.282
Ba Ca Sn	0.3
Ba Cd S4 Sn	2.188
Ba Cu2 S4 Sn	0.923
Ba Cu2 Se4 Sn	0.86
Ba Cu Sn2	0.138
Ba F4 Sn	2.618
Ba F6 Sn	5.448
Ba Ge3 O9 Sn	2.758
Ba Hg S4 Sn	1.847
Ba Mg2 Sn2	0.041
Ba Mg Sn	0.119
Ba Mn2 Sn2	0.116
Ba N2 Sn	0.482
Ba O3 Sn	0.395
Ba O9 Si3 Sn	3.743
Ba Pd Sn3	0.16
Ba Pt Sn3	0.184
Ba S2 Sn	1.824
Ba S3 Sn	0.917
Ba S3 Sn2	1.554
Ba S4 Sn Zn	2.262
Ba Sn	0.095
Ba Sn2	0.243
Ba Sn2 Zn2	0.154
Be2 O4 Sn	1.777
B F7 Sn2	4.12
B F9 Sn3	2.977
Bi2 Se9 Sn6	0.5
Bi3 K3 Na2 Sn	0.056
Bi3 K5 Sn	0.054
Bi4 Se13 Sn7	0.247
Bi K2 Sn	0.598
Br2 Sn	2.499
Br4 Sn	2.689
Br5 In Sn2	2.278
Br5 K Sn2	2.399
Br5 Rb Sn2	2.419
Br6 K2 Sn	1.21
Br6 Rb2 Sn	1.316
Br F5 Sn3	2.167
C2 N10 Sn11	0.443
C2 N2 S2 Sn	2.447
C2 N2 Sn	2.296
C6 Fe N6 Sn2	3.736
C8 N6 Sn	3.067
Ca2 N2 Sn	0.844
Ca2 O4 Sn	2.725
Ca2 Sn	0.091
Ca3 O9 Si2 Sn	3.461
Ca4 N4 Sn	1.176
Ca5 N4 Sn	0.735
Ca5 N6 Sn2	1.27
Ca5 N6 Sn4	0.453
Ca7 N6 Sn	1.137
Ca Cd Sn	0.295
Ca Cu3 O12 Sn4	1.447
Ca F6 Sn	7.152
Ca F6 Sn2	1.992
Ca Li Sn	0.034
Ca Mg Sn	0.068
Ca N2 Sn	0.492
Ca N2 Sn2	1.036
Ca Na10 Sn12	0.767
Ca Na4 Sn6	0.091
Ca O3 Sn	2.398
Ca O5 Si Sn	3.233
Ca Sn	0.044
C Co3 Sn	0.222
Cd2 O4 Sn	0.112
Cd4 K6 Se13 Sn3	1.369
Cd4 N4 Sn	0.068
Cd7 N6 Sn	0.116
Cd Cu2 S4 Sn	0.43
Cd Cu2 Sn Te4	0.044
Cd F6 Sn	4.136
Cd Li2 S4 Sn	1.946
Cd Li2 S8 Sn	0.944
Cd N2 Sn	0.046
Cd N2 Sn2	1.356
Cd Na2 S4 Sn	1.93
Cd O3 Sn	0.987
Cd P14 Sn	1.444
Cd P2 Sn	0.284
Cd Sb2 Sn	0.11
C Fe3 Sn	0.053
C F N S Sn	2.202
Cl14 Sn2 W3	0.861
Cl2 Sn	3.033
Cl3 F10 K3 Sn5	2.503
Cl4 N8 S8 Sn	1.546
Cl4 Sn	3.514
Cl5 K Sn2	3.018
Cl5 Na Sn2	2.915
Cl6 K2 Sn	2.904
Cl6 Rb2 Sn	2.546
Cl6 Sn Zr	2.439
Cl8 Ir K3 Sn	2.194
Cl9 P Sn	2.454
Cl F3 Sn2	3.389
Cl F Sn	2.612
Cl I Sn	2.527
C N2 Sn	0.556
C N4 Sn4	0.475
C Nb2 Sn	0.227
Co3 S2 Sn2	0.038
Co4 N4 Sn	0.229
Co6 Sn23 Y7	0.042
Co7 N6 Sn	0.173
Co Cu2 S4 Sn	0.489
Co Cu2 Se4 Sn	0.07
Co Cu2 Sn	0.131
Co F6 Sn	2.448
Co N2 Sn	0.211
Co Nb Sn	0.04
Co Ni O4 Sn	1.172
Co N Sn	0.167
Co Sn2	0.043
Co Sn3	0.043
Cr N3 Sn3	0.244
Cr Sn2	0.077
Cs2 N2 Sn	0.109
C Sc3 Sn	0.076
C Sn	0.652
Cs N Sn	0.725
Cu10 S32 Sn5 Zn17	0.038
Cu10 Sn3	0.1
Cu14 S32 Sn7 Zn11	0.039
Cu18 S32 Sn9 Zn5	0.036
Cu2 Fe S4 Sn	0.088
Cu2 Fe Se4 Sn	0.115
Cu2 Hg S4 Sn	0.13
Cu2 Li Sn	0.073
Cu2 Mn S4 Sn	0.43
Cu2 Mn Se4 Sn	0.043
Cu2 Rb2 S4 Sn	1.346
Cu2 S16 Sn Zn13	0.858
Cu2 S32 Sn Zn29	0.944
Cu2 S3 Sn	0.089
Cu2 S4 Sn Sr	0.914
Cu2 S4 Sn Zn	0.202
Cu2 S8 Sn Zn5	0.423
Cu2 Se3 Sn	0.123
Cu2 Se4 Sn Zn	0.102
Cu2 Sn Te4 Zn	0.081
Cu3 O12 Sn4 Sr	1.361
Cu4 Mg Sn	0.045
Cu4 Mn Sn	0.091
Cu4 P10 Sn	0.946
Cu5 Sn4	0.044
Cu6 Fe2 S8 Sn	0.532
Cu6 S16 Sn3 Zn7	0.051
Cu6 S32 Sn3 Zn23	0.31
Cu6 Sn5	0.072
Cu F6 Sn	2.513
Cu La2 O6 Sn	1.42
Cu La3 S7 Sn	1.902
Cu La3 Se7 Sn	1.306
Cu N2 Sn	0.048
Cu Na3 Se4 Sn	0.995
Cu N Sn	0.115
Cu Rb S3 Sn	0.526
Cu S4 Sn2	0.052
Cu S7 Sn Y3	1.69
Cu Sc Sn	0.14
Cu Sn2 Sr	0.136
Cu Sn Ti	0.034
F10 Na4 Sn3	1.515
F14 K4 Sb2 Sn	3.659
F16 Sn6 Ti	0.718
F2 S3 Sn Sr2	2.083
F2 Se3 Sn Sr2	1.51
F2 Sn	2.283
F3 I Sn2	1.793
F3 K Sn	1.793
F3 Sn	0.917
F4 Pb Sn	2.13
F4 Sn	4.219
F5 K Sn2	1.976
F5 Na Sn2	1.843
F6 Fe Sn	1.653
F6 K Na Sn	5.447
F6 Mn Sn	0.874
F6 Na2 Sn	5.892
F6 Na Rb Sn	5.707
F6 Ni Sn	0.496
F6 Sn Zn	3.882
F7 K Sn Zr	3.32
F7 La Sn	4.44
F7 Sn Y	4.861
F8 Sn3	2.749
Fe4 N4 Sn	0.092
Fe4 O16 Si2 Sn7	1.869
Fe N2 Sn	0.049
Fe N Sn	0.068
Fe Sn2	0.049
Fe Sn Ti	0.186
F N Sn	0.148
F Pb Sn	0.068
Ga2 N4 Sn3	0.386
Ga2 O4 Sn	0.178
Ga2 S5 Sn2	1.687
Ga3 N5 Sn3	0.478
Ga5 La3 O14 Sn	3.243
Ga K S4 Sn	2.153
Ga N Sn	0.332
Ga Sn2 V2	0.053
Ge2 N6 Sn5	0.473
Ge3 O9 Rb2 Sn	2.471
Ge8 Na15 P Sn	0.081
Ge N2 Sn	1.025
Ge N6 Sn7	0.255
Ge S3 Sn	1.645
Hf S3 Sn	1.531
Hg2 O4 Sn	0.114
Hg2 Se4 Sn	0.261
Hg3 K2 S8 Sn2	1.524
Hg3 Rb2 S8 Sn2	1.699
Hg K2 Se4 Sn	1.489
Hg P14 Sn	1.379
I2 Sn	1.804
I2 S Sn2	1.608
I3 Rb Sn	2.049
I4 S16 Sn	1.662
I4 Sn	1.918
I5 In3 Sn	2.106
I5 In Sn2	1.429
I5 K Sn2	1.546
I6 Rb2 Sn	0.146
I6 S2 Sn7	0.3
I6 S Sn4	1.533
In2 O4 Sn	1.582
In2 S7 Sn3	0.538
In4 S4 Sn	1.207
In4 Se4 Sn	0.824
In K Se4 Sn	1.448
Ir Mn Sn	0.063
Ir Sn4	0.158
K2 O3 Sn	2.154
K2 O3 Sn2	1.191
K2 O9 Si3 Sn	3.859
K2 S11 Sn2 Y4	1.93
K2 S5 Sn2	1.455
K2 Se3 Sn	1.649
K2 Se5 Sn2	0.908
K2 Sn Te3	0.962
K2 Sn Te5	0.675
K3 Mg18 Sn11	0.212
K3 Na2 P3 Sn	0.982
K3 Na Se8 Sn3	1.449
K3 Se3 Sn	1.653
K3 Sn Te3	1.33
K4 O3 Sn	2.162
K4 O4 Sn	2.348
K4 Se2 Sn Te2	1.574
K4 Se4 Sn	1.737
K4 Se8 Sn3	1.466
K4 Sn9	1.276
K5 Sb3 Sn	0.522
K6 Se7 Sn2	1.685
