smiles,ΔfH°(298.15 K)
C,-18.1
C#C,54.92
[CH]=C,70.74
C=C,12.43
[CH]=O,9.09
[CH2]C,28.89
C=O,-26.59
CC,-20.31
[CH2]O,-3.97
CO,-48.03
[C]C=C,39.58
[CH]=C=C,83.43
[CH2]C#C,83.2
C1=C[CH]1,116.69
CC#[C],126.43
C=C=C,45.17
CC#C,44.32
CC=[C],64.01
[C]C=O,3.17
[C]CC,23.55
[CH2]C=C,39.59
C[C]=C,59.93
CC=[CH],63.42
C[C]C,20.6
C=C=O,-12.03
CC=C,4.9
OC#C,22.29
[CH2]C=O,3.17
[CH2]CC,24.12
C[C]=O,-3.11
C[CH]C,20.94
CC=O,-39.76
CCC,-25.12
OC=C,-29.65
[CH2]CO,-4.74
[CH2]OC,-0.43
C[CH]O,7.58
CCO,-56.08
COC,-44.25
OC=O,-86.52
COO,-30.08
[C]#CC#C,190.19
C#CC#C,110.6
[C]C#CC,73.25
C=[C]C#C,117.72
C=CC#[C],148.29
C[C]C#C,75.77
C=CC#C,69.34
C1=CC=C1,103.09
[C]/C=C/C,31.71
[C]C(=C)C,31.97
[CH]=CC=C,85.08
[CH2]C#CC,73.25
[CH2]CC#C,89.56
C[CH]C#C,75.53
C=C[C]=C,73.97
CCC#[C],122.2
C[C]C=C,31.37
C=CC=C,26.68
CC#CC,34.84
CC=C=C,38.78
CCC#C,39.77
O=CC#C,31.66
[C]C(=O)C,-8.49
[CH2]/C=C/C,31.28
[CH2]/C=C\C,31.73
[CH2]C(=C)C,31.84
[CH2]C=CC,31.85
[CH2]CC=C,49.46
C/C=[C]/C,52.87
C/C=[C]\C,53.46
CC(=[CH])C,55.45
CC[C]=C,54.94
CCC=[CH],58.48
C/C=C/C,-2.87
C/C=C\C,0.05
C=CC=O,-15.73
CC(=C)C,-3.75
CC=CC,-2.35
CCC=C,-0.09
OCC#C,12.36
[CH2]C(C)C,17.39
[CH2]CCC,18.97
C[C](C)C,12.3
CC[CH]C,16.14
COC[C],-1.95
CC(=C)O,-40.39
CC(=O)C,-52.02
CC(C)C,-32.82
CC=CO,-35.45
CCC=O,-44.9
CCCC,-29.88
CO[C]C,-10.76
O=CC=O,-51.45
OCC=C,-29.52
[CH2]C(O)C,14.9
[CH2]CCO,-12.13
C[CH]CO,-14.01
CC[CH]O,9.35
CC(=O)O,-103.33
CC(O)C,-65.41
CCCO,-60.99
COC=O,-86.48
COCC,-52.76
OCC=O,-75.91
CCOO,-38.32
OOC=O,-65.0
[CH2]C#CC#C,133.85
C#C[CH]C#C,135.87
C#CCC#C,109.25
C=C=CC#C,104.23
CC#CC#C,99.2
OOCO,-75.12
[C]/C=C/C=C,47.84
[CH]=CC=C=C,118.71
[CH]1C=CC=C1,63.27
[CH2]C#CC=C,92.98
C/C=C/C#[C],137.73
C/C=C\C#[C],137.28
C=C[CH]C#C,90.31
CC#C[C]=C,106.71
C/C=C/C#C,61.05
C/C=C\C#C,60.68
C=CC=C=C,60.8
C=CCC#C,65.96
CC#CC=C,59.05
CC(=C)C#C,60.78
O=C=CC#C,48.98
[CH2]C=C=CC,67.07
[CH2]C=CC=C,48.05
[CH2]CC=C=C,82.61
[CH2]CCC#C,84.04
C[CH]C=C=C,66.34
C=C[CH]C=C,46.42
CC[CH]C#C,70.66
CCC#C[CH2],68.01
CCC1=C[CH]1,99.85
O1C=C[C]=C1,60.55
O1C=CC=[C]1,60.85
C(C#C)C=O,22.8
C/C=C/C=C,18.52
C/C=C\C=C,19.57
C=C=C(C)C,30.05
