smiles,ΔfH°(298.15 K)
C,-18.10
C#C,54.92
[CH]=C,70.74
C=C,12.43
[CH]=O,9.09
[CH2]C,28.89
C=O,-26.59
CC,-20.31
[CH2]O,-3.97
CO,-48.03
[C]C=C,39.58
[CH]=C=C,83.43
[CH2]C#C,83.20
C1=C[CH]1,116.69
CC#[C],126.43
C=C=C,45.17
C1=CC1,67.72
CC#C,44.32
CC=[C],64.01
[C]C=O,3.17
[C]CC,23.55
[CH]1CC1,70.04
[CH2]C=C,39.59
C[C]=C,59.93
CC=[CH],63.42
C[C]C,20.60
C=C=O,-12.03
C1CC1,12.71
CC=C,4.90
OC#C,22.29
[CH2]C=O,3.17
[CH2]CC,24.12
C[C]=O,-3.11
C[CH]C,20.94
CC=O,-39.76
CCC,-25.12
O1CC1,-12.30
OC=C,-29.65
[CH2]CO,-4.74
[CH2]OC,-0.43
C[CH]O,7.58
CCO,-56.08
COC,-44.25
OC=O,-86.52
COO,-30.08
[C]#CC#C,190.19
C#CC#C,110.60
[C]C#CC,73.25
C=[C]C#C,117.72
C=CC#[C],148.29
C[C]C#C,75.77
C=C1C=C1,92.51
C=CC#C,69.34
C1=CC=C1,103.09
[C]/C=C/C,31.71
[C]C(=C)C,31.97
[CH]=CC=C,85.08
[CH]1CC=C1,77.68
[CH2]C#CC,73.25
[CH2]C1=CC1,91.52
[CH2]C1C=C1,105.61
[CH2]CC#C,89.56
C[CH]C#C,75.53
C=C[C]=C,73.97
CC1=C[CH]1,104.90
CCC#[C],122.20
C[C]C=C,31.37
C=C1CC1,45.59
C=CC=C,26.68
C1[C@@H]2[C@H]1C2,53.58
C1CC=C1,38.44
CC#CC,34.84
CC=C=C,38.78
CC1=CC1,56.97
CC1C=C1,60.25
CCC#C,39.77
O=CC#C,31.66
[C]C(=O)C,-8.49
[CH]1CCC1,54.58
[CH2]/C=C/C,31.28
[CH2]/C=C\C,31.73
[CH2]C(=C)C,31.84
[CH2]C=CC,31.85
[CH2]C1CC1,52.50
[CH2]CC=C,49.46
C/C=[C]/C,52.87
C/C=[C]\C,53.46
C[C]1CC1,59.92
CC(=[CH])C,55.45
CC[C]=C,54.94
CC1C[CH]1,62.82
CCC=[CH],58.48
C/C=C/C,-2.87
C/C=C\C,0.05
C=CC=O,-15.73
C1CCC1,6.07
CC(=C)C,-3.75
CC=CC,-2.35
CC1CC1,5.51
CCC=C,-0.09
O=C1CC1,3.48
OCC#C,12.36
[CH2][C@@H]1CO1,24.34
[CH2]C(C)C,17.39
[CH2]CCC,18.97
[O]C1CC1,16.24
C[C](C)C,12.30
C[C]1CO1,27.26
CC[CH]C,16.14
COC[C],-1.95
C[C@@H]1CO1,-22.43
C1CCO1,-18.96
C1OC1=O,-44.06
CC(=C)O,-40.39
CC(=O)C,-52.02
CC(C)C,-32.82
CC=CO,-35.45
CC1CO1,-22.55
CCC=O,-44.90
CCCC,-29.88
CO[C]C,-10.76
O=CC=O,-51.45
OC1CC1,-24.57
OCC=C,-29.52
[CH2]C(O)C,14.90
[CH2]CCO,-12.13
C[CH]CO,-14.01
CC[CH]O,9.35
O[C]1CO1,-7.85
C1COO1,0.51
CC(=O)O,-103.33
CC(O)C,-65.41
CCCO,-60.99
COC=O,-86.48
COCC,-52.76
OC1CO1,-57.30
OCC=O,-75.91
OOC=C,-8.76
CCOO,-38.32
OOC=O,-65.00
[CH2]C#CC#C,133.85
C#C[C]1C=C1,167.43
C#C[CH]C#C,135.87
C#CC1C=C1,125.39
C#CCC#C,109.25
C=C=C1C=C1,129.63
C=C=CC#C,104.23
C1C=C1C#C,123.18
CC#CC#C,99.20
